Tarih;Konya - Merkez/Trafik;;;;
;PM10 ( - );CO ( - );NO2 ( - );NOX ( - );O3 ( - )
15.05.2021 11:00;23,22;121,62;8,83;10,96;114,15
15.05.2021 12:00;19,93;130,92;7,02;8,77;118,65
15.05.2021 13:00;21,16;127,93;7,36;8,95;119,3
15.05.2021 14:00;18,3;127,18;7,47;9,88;119,07
15.05.2021 15:00;12,81;129,25;7,22;9,27;120,26
15.05.2021 16:00;9,57;137,76;8,89;11,37;118,97
15.05.2021 17:00;10,04;141,89;11,64;15,64;113,98
15.05.2021 18:00;9,09;149,81;10,49;13,67;110,63
15.05.2021 19:00;6,94;125,63;11,11;13,64;100,23
15.05.2021 20:00;5,06;103,29;10,86;12,62;100,85
15.05.2021 21:00;3,6;67,12;11,62;13,34;105,23
15.05.2021 22:00;2,8;81,61;10,64;11,88;101,92
15.05.2021 23:00;2,41;77,83;11,05;12,68;100,92
16.05.2021 00:00;3,34;62,62;12,77;14,28;96,17
16.05.2021 01:00;4,39;102,23;15,61;17,33;90,56
16.05.2021 02:00;4,32;71,06;9,36;10,4;97,01
16.05.2021 03:00;3,74;178,19;40,08;43,67;40,26
16.05.2021 04:00;7,71;122,59;34,06;35,84;41,97
16.05.2021 05:00;22,06;97,28;18,64;20,68;65,02
16.05.2021 06:00;23,64;90,97;9,5;11,15;82,07
16.05.2021 07:00;17,44;73,6;6,2;7,58;90,39
16.05.2021 08:00;14,42;75,53;7,47;9,19;93,41
16.05.2021 09:00;11,98;94,31;8,83;11,84;96,35
16.05.2021 10:00;8,89;111,33;5,28;6,67;103,33
16.05.2021 11:00;8,53;125,47;5,76;7,3;108,84
16.05.2021 12:00;9,78;138,33;6,13;8,41;112,87
16.05.2021 13:00;8,65;149,06;8,45;12,04;114,41
16.05.2021 14:00;6,87;137,15;7,3;10,49;110,73
16.05.2021 15:00;5,57;130,43;9,31;12,73;111,29
16.05.2021 16:00;4,57;136,53;9,38;12,74;108,76
16.05.2021 17:00;4,99;130,32;10,27;13,53;100,85
16.05.2021 18:00;4,63;140,59;9,67;14,1;101,38
16.05.2021 19:00;4,52;142,25;10,72;14,2;99,05
16.05.2021 20:00;4,02;138,37;12,02;15,36;97,74
16.05.2021 21:00;3,18;122,25;12,48;15,74;95,9
16.05.2021 22:00;3;117,63;15,92;19,94;90,62
16.05.2021 23:00;2,82;83,52;10,07;12,04;96,02
17.05.2021 00:00;2,7;94,33;14,81;16,8;90,22
17.05.2021 01:00;2,55;58,18;12,65;14,48;91,54
17.05.2021 02:00;2,46;40,62;8,92;10,26;98,61
17.05.2021 03:00;2,35;49,68;7,29;8,73;101,28
17.05.2021 04:00;2,27;40,41;6,36;7,57;104,7
17.05.2021 05:00;2,37;80,24;11,94;14,7;93,95
17.05.2021 06:00;2,42;128,45;17,48;21,38;79,55
17.05.2021 07:00;2,4;174,49;24,13;29,95;69,12
17.05.2021 08:00;2,41;224,87;36,81;50,67;47,53
17.05.2021 09:00;3,1;443,68;48,61;75,8;52,61
17.05.2021 10:00;3,31;426,12;42,33;64,36;72,95
17.05.2021 11:00;3,14;445,12;43,97;69,29;79,86
17.05.2021 12:00;6,25;512,41;54,8;82,45;85,17
17.05.2021 13:00;10,4;699,5;52,14;86,5;96,49
17.05.2021 14:00;9,89;590,62;62,02;104;93,76
17.05.2021 15:00;14,53;615,51;70,41;106,75;89,34
17.05.2021 16:00;14,6;770,98;83,63;124,17;80,88
17.05.2021 17:00;23,09;768,79;94,4;146,48;76,32
17.05.2021 18:00;23,52;524,36;54,81;76,86;97,2
17.05.2021 19:00;21,55;666,1;72,21;96,93;80,26
17.05.2021 20:00;24,69;843,64;85,29;127,73;69,22
17.05.2021 21:00;22,57;738,34;78,82;105,58;48,97
17.05.2021 22:00;16,61;584,64;59,59;65,35;52,39
17.05.2021 23:00;16,85;547,26;70,27;75,15;31,24
18.05.2021 00:00;17,93;274,35;35,05;38,08;59,21
18.05.2021 01:00;15,16;246,7;32,52;36,88;59,26
18.05.2021 02:00;11,56;135,88;19,04;20,69;74,48
18.05.2021 03:00;8,62;86,31;8,47;9,73;89,35
18.05.2021 04:00;6,64;82,67;10,63;12,54;85,47
18.05.2021 05:00;5,29;78,06;15,25;19,34;78,58
18.05.2021 06:00;3,98;294,24;46,03;54,86;36,24
18.05.2021 07:00;6,8;405,42;56,29;72,96;23,43
18.05.2021 08:00;25,39;504,69;72,2;109,51;32,29
18.05.2021 09:00;36,95;468,47;62,03;94,61;50,86
18.05.2021 10:00;33,43;391,85;41,68;64;80,47
18.05.2021 11:00;30,79;415,44;42,93;68,32;87,82
18.05.2021 12:00;31,47;465,03;45,23;71,9;86,73
18.05.2021 13:00;26,58;422;47,39;74,22;85,05
18.05.2021 14:00;19,35;394,25;36,81;60,24;77,11
18.05.2021 15:00;13,97;414,03;45,61;73,55;70,16
18.05.2021 16:00;10,9;458,62;38,52;66,75;65,61
18.05.2021 17:00;13,6;541,51;50,82;85,51;63,61
18.05.2021 18:00;13,03;459,42;36,41;55,2;72,06
18.05.2021 19:00;9,99;403,72;44,58;63,14;69,6
18.05.2021 20:00;7,31;564,2;55,85;80,82;56,82
18.05.2021 21:00;5,12;412,08;42,43;58,2;59,28
18.05.2021 22:00;3,99;326,16;30,61;35,75;58,98
18.05.2021 23:00;3,18;243,08;16,33;20,97;72,94
19.05.2021 00:00;2,85;236,36;15,13;18,99;76,97
19.05.2021 01:00;2,78;77,03;13,42;17,22;86,44
19.05.2021 02:00;2,5;48,16;11,67;14,12;86,06
